id,tip,seller_mistake_it_corrects,why,how_the_copilot_applies_it,source_books
COACH-001,"Set a real floor (BATNA) and a trip wire before you negotiate, not an arbitrary bottom line.","Negotiating with no walk-away in mind, or a wishful bottom line set too high/low, leading to both bad accepts and bad rejects.",A relist/cross-list/hold value is a smarter measure than a guessed floor; it tells you exactly when to walk and protects against a regret-accept in the heat of the moment.,Guardrail: at listing time computes/asks for a comp-based floor + 'reconsider below $X' trip wire; surfaces a counter/hold/accept prompt instead of one-tap accepting low offers.,GTY; GPN; BFA; 3DN
COACH-002,"Anchor on your goal, not your floor — and notice if relief at an offer means you've slipped.","Setting modest goals and relaxing the moment an offer clears the bottom line, leaving money on the table.","People who expect more generally get more; anchoring on the floor makes you stop striving, and alert buyers sense that relaxation.","Nudge: recommends a list price near the top of the comp range and warns when a user's counter leaks toward their floor ('you're countering near your floor, not your goal').",BFA; 3DN
COACH-003,Don't chase 'Yes' or over-accommodate to be nice — seek genuine commitment.,"Soft/positional bargaining: caving to avoid confrontation, producing counterfeit yeses, ghosting, and exploitation by hard bargainers.","Being hard on the merits (comps, BATNA) and soft on the person gets better outcomes than people-pleasing; a 'yes' with nothing to lose isn't a deal.",Nudge + guardrail: detects over-accommodation in drafts; pushes a written confirmation + immediate on-platform offer to convert a verbal yes into commitment.,NSD; GTY; BFA
COACH-004,Don't reflexively split the difference; counter with a small odd move or a term.,"Splitting two arbitrary numbers out of fear of confrontation, producing an arbitrary result that gives away margin.","The midpoint of two arbitrary anchors is arbitrary, and reciprocity already drags outcomes toward it; symmetric/large moves leak value.","Suggestion: when the buyer says 'split it', the copilot proposes an odd number / a term above the midpoint, gated by the floor — and only allows a split that lands inside the comp range.",NSD; 3DN; BFA; GTY
COACH-005,"Probe before you disclose — ask, don't blab.","Going first / naming your lowest price when asked 'best price?', and over-explaining, which hands away leverage.",Every reason the buyer wants the deal is your leverage if you know it; skilled negotiators ask ~2x as many questions and disclose last.,Suggestion: defaults to an interest-probing question before any number; flags drafts that disclose the floor or eagerness too early.,NSD; GTY; BFA; 3DN
COACH-006,Don't slash price when the real problem is the listing — run a setup audit first.,"Being '1-D': over-focusing on table haggling and panic price-cuts while neglecting photos, comps, audience, framing, and timing.","A barrier in one dimension usually has its fix in another; the right audience and a comp-anchored, well-framed listing draw fair offers without a fight.","Nudge: a 'why isn't this selling?' diagnostic scoring photos, comp-anchored price, bundle eligibility, framing, and reply latency before recommending a price cut or relist.",3DN
COACH-007,Don't assume the buyer only wants a lower price — look for non-price interests and trades.,Fixed-pie + confirmation bias: reading every objection as 'cut the price' and missing bundle/shipping/timing/proof fixes.,"Roughly half the time there's shared ground both sides miss; a separate need (speed, reassurance, a bundle) is often cheaper to satisfy than a discount.",Suggestion: surfaces the likely real interest behind an objection and proposes a hold-price-add-value or bundle option before any discount.,GTY; BFA; 3DN
COACH-008,Don't react instantly to a triggering message — go to the balcony.,"The reaction reflex: firing back at a rude/lowball message, or misreading an ambiguous terse message as hostile and escalating irreversibly.","Reacting hooks you into the buyer's game; text strips tone, so your worst-case reading is as likely wrong as right, and an angry reply is on the record.",Guardrail: interposes a cool-down/draft step on hostile inbound or an angry seller draft; offers a calmer drafted reply or a neutral clarifier.,GPN; DC; INF; NSD
COACH-009,Don't counter-punch rude buyers; disarm and deflect to the problem.,"Matching hostility with hostility, which tanks the deal, your liking, and your reputation.",The aggressive buyer's power comes from your reaction; a calibrated question + 'I'-boundary keeps you rational and refocuses on the issue.,Guardrail: rewrites a snippy seller draft into a purposeful one or advises waiting; never generates a counter-attack.,NSD; GTY; GPN; BFA; INF; DC
COACH-010,Don't vent or hit-and-run — only send a reply with a clear constructive purpose.,Firing off a satisfying jab or passive-aggressive one-liner that feels good but earns a worse review and a dispute.,"Venting and snippy half-messages produce exactly the defensiveness and damage you fear, with none of the benefit.","Guardrail: blocks/reshapes a furious draft ('Maybe read the description next time') into something purposeful, or advises holding it.",DC
COACH-011,"Use power to educate, not threaten; keep your best offer on the table.","Blurting 'I'll just sell to someone else' as an insult, or yanking the offer in anger, which triggers ego and ends the deal.",A warning is objective and respectful; the contrast between no-deal and an attractive standing offer reduces resistance more than punishment.,Suggestion: frames the relist/other-interest as a neutral fact and always re-states the standing offer in a re-engagement message.,GPN; 3DN; BFA
COACH-012,Be generous at the very end — don't squeeze the last dollar.,"Nickel-and-diming or gloating at close, risking reneging, bad feedback, and no repeat business.","An imposed/crushed outcome is unstable; letting the buyer win the last round pays off in completion, reviews, and loyalty.","Suggestion: biases the closing message toward a tiny final courtesy (free shipping, fast dispatch, a sticker) and tracks which closers correlate with reviews/repeat buyers.",GPN; GTY; INF
COACH-013,"Never fake the trigger — only use true scarcity, social proof, comps, and authenticity claims.","Inventing saves/sold counts, phantom other buyers, fake countdowns, fabricated comps, or unbacked authentication because the principle 'works'.","Each persuasion principle works as well honestly as dishonestly, so you never need to fake it; one ethical slip destroys credibility across many future deals and risks the platform.","Guardrail: any generated claim about demand, supply, authenticity, or comparison is checked against real listing/seller data before sending; fabricated triggers are hard-blocked.",INF; GTY; BFA; 3DN
COACH-014,"Don't over-pressure — state scarcity once, then hand back control.",Repeated nudges and fake deadlines that feel like 'closing' but trigger buyer reactance and kill the sale.,Pressure on a buyer's freedom can flip desire into refusal; the freedom-restorer often closes better than pushing.,"Guardrail: limits to one factual scarcity note, defaults tone to the freedom-restorer, and suppresses repeated auto-nudges to the same buyer.",INF; DC
COACH-015,Acknowledge feelings before problem-solving on any complaint.,"Jumping straight to refund math or a policy quote, which reads as 'I don't understand how you feel' and escalates.","Behind every complaint are invisible questions ('do you care? can I trust you?'); until those get a yes, the buyer won't take in your solution.","Suggestion: drafts complaint replies that lead with a genuine, specific acknowledgment before any options — and skips it on calm transactional messages.",DC; GPN; NSD
COACH-016,"When accused of bad intent, answer the harm, not the accusation.","Rushing to 'I'd never scam you / I described it accurately', which changes the topic to your character and makes the buyer angrier.",Buyers infer intent from impact; acknowledging the harm first and inviting evidence de-escalates and reduces retaliatory reviews/disputes.,"Suggestion: on a 'scammer/fake' accusation, drafts an impact-not-intent reply (acknowledge feeling -> set intent aside -> invite proof) and avoids defensive denials.",DC; NSD; GTY
COACH-017,Own your real contribution early when you genuinely erred.,"Defaulting to blame or defending, or waiting to be cornered into admitting a vague listing / slow ship / missed flaw.","Owning your part early signals you've left the blame game, lowers defensiveness, shrinks the demand, and reads as confident not weak.","Suggestion: when the seller clearly contributed, drafts a clean specific ownership + fair options; guardrail prevents misapplying 'we both contributed' to a genuinely defrauded buyer.",DC
COACH-018,"You can't control the buyer's reaction — measure success by a fair, well-said reply.","Contorting to avoid a bad review or end the discomfort, which leads to over-conceding and rewards/ trains extortion.",Trying to control their mood adds pressure and erodes your fair line; releasing it keeps you grounded enough to hold a fair offer even if they stay angry.,"Coaching: during hostile/extortion threads, reminds the seller to hold a fair documented offer and let the platform process protect them, rather than panic-conceding.",DC; BFA
COACH-019,Don't tolerate dirty tricks silently or retaliate — name the move and apply reciprocity.,"Absorbing post-deal demand creep, phantom 'other offers', or fake authority to keep the peace, which invites more.","Both reflexes fail; naming a tactic gently often neutralizes it, and a reciprocity test exposes its unfairness without blowing up the deal.","Suggestion: detects nibbles/demand-creep ('ok deal, also add X free') and drafts a 'that's a new deal, here's the agreed terms' reply; guardrail keeps the copilot from coaching the seller to use these tricks.",GTY; GPN; BFA
COACH-020,Coach to your own bargaining-style blind spot.,Style failure modes: accommodators/compromisers cave fast and stop asking; competers bruise relationships and miss non-price value; avoiders never make the ask.,Self-knowledge is the foundation of effective negotiation; coaching to the personal gap is where the copilot adds the most seller-side value.,"Coaching: infers the user's style over time and tailors nudges ('you're dropping fast — hold a round and ask', 'they're a repeat buyer, warm up', 'you can just ask — worst case is a no').",BFA; DC
COACH-021,"Treat deadlines as cutting both ways — patience is leverage, panic-dropping is not.","Rushing to relist or accept before an end-of-listing, and panic markdowns instead of a measured, well-timed cadence.","Deadlines pressure the buyer too; dropping price too fast leaves money on the table, while timing to paydays/season and a measured ladder nets more.",Nudge: recommends relist timing and a measured markdown ladder (e.g. -10% per 7-10 days) and discourages reactive deep cuts.,NSD; 3DN
COACH-022,Don't damage your own walk-away — avoid open-ended unpaid 'holds' and keep buyers parallel.,"Granting open-ended holds and negotiating one buyer to exhaustion in series, destroying leverage and losing other live buyers.",Open-ended holds spring a leak in your BATNA (and invite off-platform risk); parallel interest keeps competition alive and outcomes higher.,"Guardrail + suggestion: counsels against unpaid holds (offer a deposit/first-to-checkout instead) and advises responding to all interested buyers, accepting the first firm on-platform commitment.",3DN; GTY
COACH-023,"Set the spirit of the deal up front — disclose condition, ship time, and returns honestly.","Leaving the social contract unspoken, so vague condition/shipping expectations cause disputes, returns, and bad reviews.",Deals unravel on divergent unspoken expectations; embedding them in the listing pre-empts 'not as described' cases and protects your rating.,"Suggestion: the listing generator proactively states condition (with flaw photos), dispatch time, and return policy concisely.",3DN; DC
COACH-024,One complaint isn't your identity — don't panic-refund or deny out of self-image threat.,An all-or-nothing reaction ('I'm a bad/incompetent seller') that tips into denial or panic-refunding.,Grounding the identity keeps you steady enough to handle the substance fairly instead of over-reacting in either direction.,"Coaching: reframes a single complaint as a normal, solvable event and steers toward the two-option fair resolution rather than an emotional swing.",DC
